# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.49
4                       0.52
8                       0.53
16                      0.51
32                      0.52
64                      0.50
128                     0.51
256                     0.56
512                     0.62
1024                    0.61
2048                    0.64
4096                    1.34
8192                    1.57
16384                   2.01
32768                   2.70
65536                   4.44
131072                 11.77
262144                 11.97
524288                 22.46
1048576                43.77
2097152                86.82
4194304               206.67
