# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.01
2                       7.92
4                      15.45
8                      30.89
16                     62.18
32                    124.57
64                    248.05
128                   487.99
256                   945.97
512                  1469.98
1024                 2841.55
2048                 5016.02
4096                 4718.03
8192                 8487.44
16384               14405.97
32768               21362.54
65536               26046.42
131072              28614.25
262144              29907.58
524288              28382.89
1048576             30312.92
2097152             28314.49
4194304             29166.81
