# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.49
2                       0.50
4                       0.50
8                       0.50
16                      0.51
32                      0.50
64                      0.50
128                     0.52
256                     0.53
512                     0.58
1024                    0.61
2048                    0.65
4096                    1.33
8192                    1.57
16384                   1.93
32768                   3.12
65536                   6.37
131072                 12.45
262144                 10.61
524288                 20.14
1048576                38.99
2097152                77.67
4194304               226.92
