# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.50
4                       0.51
8                       0.68
16                      0.51
32                      0.51
64                      0.51
128                     0.53
256                     0.60
512                     0.67
1024                    0.60
2048                    0.65
4096                    1.55
8192                    1.51
16384                   2.12
32768                   2.88
65536                   4.26
131072                  8.32
262144                 12.15
524288                 22.71
1048576                44.10
2097152                87.78
4194304               206.66
