# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.49
2                       6.11
4                      11.87
8                      23.82
16                     48.73
32                     96.99
64                    191.64
128                   373.63
256                   732.85
512                  1260.21
1024                 2468.34
2048                 4570.89
4096                 4259.53
8192                 7613.63
16384               12582.21
32768               18718.01
65536               21882.77
131072              24491.60
262144              24478.34
524288              24871.66
1048576             26099.22
2097152             25955.62
4194304             26146.91
