# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.43
2                       0.43
4                       0.43
8                       0.43
16                      0.43
32                      0.46
64                      0.44
128                     0.45
256                     0.47
512                     0.55
1024                    0.55
2048                    0.60
4096                    1.25
8192                    1.47
16384                   1.93
32768                   2.96
65536                   4.35
131072                  7.44
262144                 11.40
524288                 21.80
1048576                42.51
2097152                84.91
4194304               207.16
