# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.01
2                       7.31
4                      13.09
8                      25.79
16                     51.72
32                    106.13
64                    213.03
128                   428.25
256                   821.67
512                  1262.27
1024                 2452.99
2048                 4593.90
4096                 3457.34
8192                 3611.55
16384                4280.24
32768                9511.48
65536               24198.02
131072              26654.40
262144              25290.06
524288              29107.94
1048576             27666.44
2097152             27759.03
4194304             28419.16
