# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.50
4                       0.51
8                       0.50
16                      0.51
32                      0.51
64                      0.52
128                     0.58
256                     0.54
512                     0.58
1024                    0.59
2048                    0.64
4096                    1.35
8192                    1.53
16384                   1.97
32768                   3.07
65536                   5.70
131072                 10.10
262144                 10.43
524288                 20.89
1048576                38.62
2097152                78.32
4194304               225.71
