# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.44
2                       0.43
4                       0.43
8                       0.43
16                      0.43
32                      0.43
64                      0.43
128                     0.45
256                     0.45
512                     0.54
1024                    0.56
2048                    0.61
4096                    1.27
8192                    1.53
16384                   2.03
32768                   2.77
65536                   3.89
131072                  6.08
262144                 11.79
524288                 22.72
1048576                43.82
2097152                88.88
4194304               227.44
