# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.43
2                       0.43
4                       0.43
8                       0.43
16                      0.43
32                      0.44
64                      0.43
128                     0.45
256                     0.46
512                     0.59
1024                    0.58
2048                    0.62
4096                    1.29
8192                    1.56
16384                   2.00
32768                   2.82
65536                   4.31
131072                  6.23
262144                 12.06
524288                 23.28
1048576                45.39
2097152                89.15
4194304               305.28
