# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.44
2                       0.45
4                       0.44
8                       0.47
16                      0.44
32                      0.44
64                      0.43
128                     0.45
256                     0.46
512                     0.55
1024                    0.56
2048                    0.60
4096                    1.27
8192                    1.51
16384                   2.05
32768                   3.03
65536                   4.32
131072                  5.93
262144                 11.69
524288                 23.38
1048576                45.39
2097152                89.83
4194304               220.18
