# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.43
2                       0.49
4                       0.43
8                       0.43
16                      0.44
32                      0.44
64                      0.44
128                     0.46
256                     0.47
512                     0.54
1024                    0.56
2048                    0.60
4096                    1.26
8192                    1.50
16384                   1.94
32768                   2.81
65536                   4.66
131072                  9.54
262144                 11.64
524288                 22.09
1048576                42.85
2097152                84.66
4194304               212.74
