# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.54
2                       0.50
4                       0.50
8                       0.51
16                      0.50
32                      0.50
64                      0.51
128                     0.51
256                     0.53
512                     0.59
1024                    0.60
2048                    0.65
4096                    1.32
8192                    1.57
16384                   1.91
32768                   3.18
65536                   6.12
131072                 11.59
262144                 10.96
524288                 20.59
1048576                40.15
2097152                82.02
4194304               256.31
