# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.43
2                       0.43
4                       0.43
8                       0.43
16                      0.44
32                      0.43
64                      0.44
128                     0.50
256                     0.46
512                     0.54
1024                    0.56
2048                    0.60
4096                    1.26
8192                    1.49
16384                   1.93
32768                   2.90
65536                   4.80
131072                 11.72
262144                 12.12
524288                 22.69
1048576                42.31
2097152                86.44
4194304               207.63
