# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.73
2                       7.05
4                      12.90
8                      25.55
16                     51.06
32                    100.40
64                    197.11
128                   387.44
256                   752.60
512                  1305.32
1024                 2471.30
2048                 4530.72
4096                 4372.12
8192                 7774.04
16384               13172.62
32768               18813.70
65536               21400.72
131072              23073.57
262144              24404.71
524288              25822.82
1048576             26056.09
2097152             26228.75
4194304             26381.01
