# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.03
2                       7.99
4                      15.64
8                      31.14
16                     62.19
32                    124.60
64                    249.93
128                   496.34
256                   948.79
512                  1381.68
1024                 2670.08
2048                 4964.20
4096                 3594.55
8192                 3629.23
16384                4254.45
32768                4859.28
65536                8317.53
131072               8686.79
262144               8938.89
524288              12896.23
1048576             13876.30
2097152             14690.40
4194304             13333.85
