# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.18
2                       5.96
4                      11.88
8                      24.33
16                     50.38
32                    101.02
64                    198.62
128                   381.98
256                   746.24
512                  1250.41
1024                 2431.11
2048                 4535.69
4096                 3201.86
8192                 4618.64
16384                4604.85
32768               12719.60
65536               21904.11
131072              24505.32
262144              24828.25
524288              26284.34
1048576             25470.70
2097152             27283.09
4194304             27504.51
