# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.55
4                       0.51
8                       0.50
16                      0.51
32                      0.50
64                      0.51
128                     0.54
256                     0.55
512                     0.58
1024                    0.60
2048                    0.65
4096                    1.42
8192                    1.51
16384                   1.98
32768                   3.18
65536                   5.30
131072                  9.49
262144                 11.33
524288                 21.62
1048576                42.09
2097152                88.54
4194304               196.23
