# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.50
2                       6.54
4                      13.03
8                      26.11
16                     52.90
32                    104.80
64                    212.22
128                   416.80
256                   812.88
512                  1359.00
1024                 2608.11
2048                 4829.36
4096                 4649.19
8192                 8351.75
16384               13858.64
32768               20201.38
65536               23218.75
131072              26463.98
262144              28071.05
524288              26555.12
1048576             28656.33
2097152             27863.48
4194304             27609.62
