# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.42
2                       0.43
4                       0.42
8                       0.45
16                      0.43
32                      0.43
64                      0.47
128                     0.45
256                     0.46
512                     0.57
1024                    0.55
2048                    0.62
4096                    1.28
8192                    1.49
16384                   1.96
32768                   2.95
65536                   5.31
131072                  5.87
262144                 12.11
524288                 23.21
1048576                44.87
2097152                91.63
4194304               261.71
