# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.43
2                       0.44
4                       0.42
8                       0.43
16                      0.42
32                      0.44
64                      0.43
128                     0.45
256                     0.46
512                     0.54
1024                    0.54
2048                    0.61
4096                    1.26
8192                    1.49
16384                   1.94
32768                   2.77
65536                   4.33
131072                  7.24
262144                 12.09
524288                 23.15
1048576                45.01
2097152               103.84
4194304               264.15
