# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.51
4                       0.51
8                       0.51
16                      0.51
32                      0.51
64                      0.51
128                     0.53
256                     0.54
512                     0.60
1024                    0.61
2048                    0.65
4096                    1.33
8192                    1.56
16384                   2.00
32768                   2.72
65536                   4.10
131072                  8.31
262144                 11.39
524288                 21.66
1048576                42.05
2097152                83.80
4194304               182.33
