# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.42
2                       0.43
4                       0.43
8                       0.43
16                      0.43
32                      0.43
64                      0.44
128                     0.46
256                     0.47
512                     0.54
1024                    0.56
2048                    0.61
4096                    1.23
8192                    1.47
16384                   1.99
32768                   2.73
65536                   4.27
131072                  6.88
262144                 11.98
524288                 22.56
1048576                44.06
2097152                88.46
4194304               304.33
