# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.74
2                       7.52
4                      15.28
8                      30.37
16                     61.03
32                    121.71
64                    234.14
128                   456.05
256                   892.47
512                  1529.34
1024                 2963.88
2048                 5338.23
4096                 5005.35
8192                 8480.34
16384               14025.61
32768               20232.54
65536               23553.52
131072              26407.43
262144              26983.95
524288              26081.05
1048576             26134.14
2097152             27537.84
4194304              9351.61
