# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.03
2                       7.82
4                      13.57
8                      26.34
16                     52.72
32                    107.33
64                    215.78
128                   431.67
256                   822.95
512                  1282.20
1024                 2480.01
2048                 4660.58
4096                 4379.49
8192                 7983.34
16384               13288.08
32768               20160.71
65536               24997.19
131072              27256.67
262144              25864.07
524288              23413.72
1048576             29627.88
2097152             29091.24
4194304             28699.16
