# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.50
4                       0.51
8                       0.50
16                      0.50
32                      0.51
64                      0.51
128                     0.52
256                     0.54
512                     0.59
1024                    0.61
2048                    0.66
4096                    1.35
8192                    1.64
16384                   1.97
32768                   2.80
65536                   4.24
131072                  6.85
262144                 11.49
524288                 21.83
1048576                42.53
2097152                83.96
4194304               189.37
