# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.50
4                       0.50
8                       0.52
16                      0.52
32                      0.50
64                      0.51
128                     0.51
256                     0.54
512                     0.63
1024                    0.61
2048                    0.66
4096                    1.34
8192                    1.57
16384                   2.02
32768                   2.69
65536                   4.27
131072                  9.72
262144                 12.23
524288                 22.48
1048576                43.55
2097152                86.07
4194304               200.47
