# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.35        3350064.29
2                       6.42        3208623.50
4                      12.60        3151131.47
8                      25.37        3171181.10
16                     50.89        3180814.60
32                    102.39        3199758.58
64                    205.17        3205707.60
128                   407.01        3179755.92
256                   788.83        3081378.63
512                  1247.59        2436708.31
1024                 2386.21        2330285.91
2048                 4529.80        2211818.23
4096                 4346.12        1061063.58
8192                 7954.53         971012.43
16384               13529.77         825791.34
32768               19883.38         606792.71
65536               24577.07         375016.31
131072              27023.02         206169.30
262144              28911.56         110288.84
524288              28561.74          54477.19
1048576             27854.13          26563.77
2097152             28911.14          13785.91
4194304             29616.48           7061.12
