# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.00
2                       7.87
4                      15.51
8                      29.41
16                     54.95
32                    112.02
64                    224.79
128                   441.56
256                   861.32
512                  1338.58
1024                 2592.69
2048                 4859.30
4096                 4621.34
8192                 8455.49
16384               14255.73
32768               21377.44
65536               26522.33
131072              29062.34
262144              29905.71
524288              31321.08
1048576             28011.78
2097152             28679.81
4194304             30136.89
