# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.38
2                       6.35
4                      12.60
8                      25.62
16                     51.92
32                    103.70
64                    207.32
128                   394.86
256                   776.18
512                  1273.97
1024                 2463.07
2048                 4716.95
4096                 4411.87
8192                 7865.99
16384               10175.84
32768               14436.40
65536               24527.39
131072              27271.48
262144              28690.66
524288              26851.76
1048576             26658.52
2097152             28712.36
4194304             28160.09
