# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.44        3443844.70
2                       6.82        3408272.73
4                      13.58        3395925.73
8                      27.40        3424806.34
16                     53.92        3369973.19
32                    107.30        3353023.26
64                    201.30        3145287.26
128                   387.91        3030513.53
256                   764.14        2984939.16
512                  1453.54        2838940.06
1024                 2760.89        2696185.29
2048                 5019.24        2450801.22
4096                 3507.39         856295.64
8192                 5531.58         675242.22
16384               14288.17         872080.58
32768               20524.76         626366.11
65536               23579.14         359789.17
131072              27133.67         207013.46
262144              10244.63          39080.15
524288               8753.05          16695.12
1048576              8809.57           8401.46
2097152              8825.20           4208.18
4194304              8804.62           2099.18
