# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.42
2                       0.43
4                       0.43
8                       0.43
16                      0.43
32                      0.44
64                      0.45
128                     0.46
256                     0.47
512                     0.55
1024                    0.56
2048                    0.60
4096                    1.26
8192                    1.52
16384                   2.01
32768                   2.82
65536                   4.52
131072                  7.28
262144                 11.78
524288                 22.31
1048576                43.54
2097152                85.93
4194304               214.94
