# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.52
2                       0.50
4                       0.51
8                       0.51
16                      0.51
32                      0.53
64                      0.53
128                     0.52
256                     0.55
512                     0.59
1024                    0.61
2048                    0.70
4096                    1.37
8192                    1.64
16384                   1.92
32768                   2.78
65536                   4.41
131072                 10.48
262144                 11.49
524288                 22.39
1048576                43.32
2097152                85.95
4194304               195.34
