# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.81        3806065.05
2                       7.58        3788917.06
4                      14.88        3719844.77
8                      29.68        3709854.38
16                     59.29        3705535.03
32                    118.97        3717702.75
64                    238.52        3726850.51
128                   473.32        3697779.98
256                   905.50        3537100.93
512                  1440.15        2812792.03
1024                 2792.49        2727036.78
2048                 5263.78        2570205.15
4096                 4543.12        1109159.68
8192                 9263.51        1130799.79
16384               15957.23         973952.15
32768               19359.27         590798.01
65536               28900.37         440984.72
131072              31760.34         242312.14
262144              34030.11         129814.55
524288              26743.20          51008.60
1048576             30771.78          29346.26
2097152             34424.93          16415.09
4194304             32113.99           7656.57
