# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.43
2                       0.43
4                       0.43
8                       0.44
16                      0.43
32                      0.45
64                      0.44
128                     0.46
256                     0.51
512                     0.54
1024                    0.57
2048                    0.61
4096                    1.30
8192                    1.53
16384                   2.00
32768                   2.84
65536                   4.81
131072                  6.55
262144                 12.12
524288                 22.96
1048576                44.76
2097152                88.47
4194304               223.80
