# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.02
2                       7.05
4                      12.97
8                      25.67
16                     52.01
32                    105.16
64                    212.01
128                   417.05
256                   810.66
512                  1262.98
1024                 2444.64
2048                 4599.22
4096                 4324.41
8192                 8137.14
16384               13448.04
32768               20339.86
65536               25325.97
131072              27551.04
262144              27188.57
524288              25212.00
1048576             29804.06
2097152             28362.94
4194304             29587.79
