# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.43
2                       0.43
4                       0.42
8                       0.43
16                      0.43
32                      0.43
64                      0.45
128                     0.48
256                     0.48
512                     0.55
1024                    0.57
2048                    0.61
4096                    1.32
8192                    1.56
16384                   2.06
32768                   2.93
65536                   4.75
131072                  6.64
262144                 12.12
524288                 23.08
1048576                45.21
2097152                89.29
4194304               228.23
