# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.50
4                       0.50
8                       0.51
16                      0.67
32                      0.53
64                      0.51
128                     0.52
256                     0.54
512                     0.61
1024                    0.72
2048                    0.65
4096                    1.37
8192                    1.71
16384                   2.10
32768                   2.75
65536                   4.62
131072                 11.11
262144                 11.78
524288                 22.74
1048576                44.47
2097152                87.56
4194304               203.95
