# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.74
2                       7.36
4                      14.65
8                      27.83
16                     53.71
32                    106.55
64                    209.25
128                   409.60
256                   798.04
512                  1347.48
1024                 2593.67
2048                 4796.91
4096                 3400.54
8192                 4606.40
16384                4619.61
32768                5250.87
65536                8105.33
131072              13196.23
262144              27355.49
524288              28143.42
1048576             27872.19
2097152             28114.27
4194304             27369.97
