# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.51
2                       0.50
4                       0.52
8                       0.50
16                      0.51
32                      0.52
64                      0.51
128                     0.53
256                     0.56
512                     0.58
1024                    0.60
2048                    0.66
4096                    1.34
8192                    1.53
16384                   1.93
32768                   2.75
65536                   4.20
131072                 10.27
262144                 11.67
524288                 21.50
1048576                41.84
2097152                82.44
4194304               189.74
