# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.42
2                       0.44
4                       0.43
8                       0.45
16                      0.44
32                      0.45
64                      0.46
128                     0.47
256                     0.48
512                     0.55
1024                    0.55
2048                    0.61
4096                    1.31
8192                    1.54
16384                   1.96
32768                   2.75
65536                   4.56
131072                  7.77
262144                 11.87
524288                 22.77
1048576                44.96
2097152                94.47
4194304               292.74
