# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.00
2                       7.64
4                      13.52
8                      26.82
16                     53.68
32                    107.31
64                    215.52
128                   429.73
256                   831.22
512                  1286.70
1024                 2482.20
2048                 4557.77
4096                 3358.21
8192                 5255.57
16384               13310.32
32768               19977.99
65536               24695.18
131072              27203.08
262144              28827.22
524288              25109.98
1048576             27910.47
2097152             30428.94
4194304             29012.48
