# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.77        3767243.67
2                       7.25        3624996.18
4                      14.33        3582485.10
8                      28.51        3563152.20
16                     56.93        3557900.81
32                    115.15        3598380.28
64                    230.30        3598369.76
128                   458.22        3579878.84
256                   883.78        3452278.72
512                  1403.36        2740931.87
1024                 2708.61        2645126.96
2048                 5133.08        2506386.00
4096                 4972.02        1213872.57
8192                 9090.11        1109632.04
16384               15501.27         946122.38
32768               22992.49         701675.19
65536               28182.57         430031.95
131072              30503.84         232725.86
262144              31254.30         119225.68
524288              28240.49          53864.46
1048576             27681.50          26399.13
2097152             29430.06          14033.35
4194304             31226.11           7444.88
