# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.43
2                       0.46
4                       0.43
8                       0.44
16                      0.43
32                      0.44
64                      0.45
128                     0.46
256                     0.47
512                     0.54
1024                    0.55
2048                    0.61
4096                    1.28
8192                    1.52
16384                   1.98
32768                   2.91
65536                   4.54
131072                  7.27
262144                 12.40
524288                 23.64
1048576                46.36
2097152                91.30
4194304               233.65
