# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.42
2                       0.43
4                       0.43
8                       0.44
16                      0.42
32                      0.43
64                      0.44
128                     0.45
256                     0.46
512                     0.54
1024                    0.54
2048                    0.60
4096                    1.24
8192                    1.48
16384                   1.94
32768                   2.79
65536                   4.51
131072                  6.85
262144                 11.79
524288                 22.79
1048576                44.82
2097152                91.52
4194304               219.10
