# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.44
2                       0.44
4                       0.45
8                       0.45
16                      0.44
32                      0.45
64                      0.44
128                     0.46
256                     0.47
512                     0.57
1024                    0.57
2048                    0.62
4096                    1.25
8192                    1.46
16384                   1.98
32768                   2.75
65536                   4.64
131072                  9.96
262144                 12.20
524288                 22.53
1048576                43.62
2097152                86.59
4194304               211.83
