# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.71
2                       7.33
4                      14.65
8                      29.16
16                     58.06
32                    114.69
64                    226.07
128                   444.37
256                   868.62
512                  1411.64
1024                 2714.85
2048                 4976.47
4096                 4712.04
8192                 8333.41
16384               13663.97
32768               19914.56
65536               23534.98
131072              26595.80
262144              17521.21
524288              24699.68
1048576             27060.88
2097152             27504.55
4194304             27723.74
