# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.84        3844513.23
2                       7.56        3780512.20
4                      14.76        3690776.80
8                      29.13        3641385.02
16                     58.01        3625836.97
32                    116.10        3627970.45
64                    232.51        3632979.39
128                   462.22        3611069.94
256                   887.19        3465581.36
512                  1410.58        2755043.17
1024                 2731.30        2667289.70
2048                 5174.30        2526514.99
4096                 4540.03        1108404.81
8192                 9213.03        1124637.24
16384               15456.76         943405.99
32768               23150.02         706482.65
65536               28610.08         436555.17
131072              31409.50         239635.46
262144              34395.36         131207.90
524288              32103.65          61232.84
1048576             35287.18          33652.48
2097152             31063.77          14812.36
4194304             31309.26           7464.71
