# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.47        3465325.79
2                       6.85        3425817.56
4                      13.57        3392406.98
8                      26.96        3370052.34
16                     53.46        3341510.81
32                    105.83        3307176.67
64                    215.75        3371084.21
128                   418.97        3273219.63
256                   775.30        3028526.64
512                  1431.03        2794972.19
1024                 2710.47        2646943.85
2048                 4942.64        2413400.41
4096                 3332.08         813496.32
8192                 4573.45         558282.85
16384               11004.72         671674.76
32768               20363.85         621455.29
65536               23310.49         355689.92
131072              26039.31         198664.15
262144              13366.41          50988.82
524288              12366.68          23587.57
1048576             11750.04          11205.71
2097152             12790.82           6099.14
4194304             13550.60           3230.72
