# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.70
2                       7.38
4                      14.61
8                      29.92
16                     60.70
32                    120.90
64                    237.09
128                   455.73
256                   890.40
512                  1511.74
1024                 2904.00
2048                 5265.78
4096                 4662.06
8192                 8392.49
16384               13908.10
32768               20163.41
65536               23484.45
131072              26183.10
262144              26654.16
524288              27094.93
1048576             28609.66
2097152             27959.05
4194304             28257.99
