# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.02
2                       7.93
4                      15.49
8                      30.97
16                     61.76
32                    123.97
64                    246.98
128                   492.69
256                   958.85
512                  1457.36
1024                 2828.07
2048                 5334.46
4096                 4988.66
8192                 8510.32
16384               13902.57
32768               20876.89
65536               26022.99
131072              28338.28
262144              30314.28
524288              30011.62
1048576             29740.31
2097152             30265.46
4194304             27576.39
