# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.43
2                       0.44
4                       0.43
8                       0.43
16                      0.45
32                      0.43
64                      0.43
128                     0.45
256                     0.48
512                     0.54
1024                    0.58
2048                    0.60
4096                    1.27
8192                    1.49
16384                   1.95
32768                   2.77
65536                   4.75
131072                  8.81
262144                 11.81
524288                 22.08
1048576                43.02
2097152                85.08
4194304               216.69
