# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.51
4                       0.50
8                       0.51
16                      0.52
32                      0.51
64                      0.51
128                     0.53
256                     0.55
512                     0.60
1024                    0.60
2048                    0.65
4096                    1.33
8192                    1.53
16384                   1.94
32768                   2.70
65536                   4.12
131072                  9.28
262144                 11.41
524288                 21.79
1048576                42.39
2097152                83.56
4194304               188.88
