# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.86        3855219.87
2                       7.47        3735420.62
4                      14.54        3635714.99
8                      29.20        3650288.03
16                     58.12        3632549.67
32                    117.11        3659633.71
64                    233.76        3652556.08
128                   467.35        3651140.38
256                   887.79        3467927.95
512                  1426.21        2785557.75
1024                 2746.50        2682126.78
2048                 5219.06        2548366.91
4096                 4948.48        1208123.79
8192                 8557.98        1044675.77
16384               14332.22         874769.15
32768               21215.05         647432.08
65536               26197.22         399737.79
131072              28218.21         215287.86
262144              28409.03         108371.84
524288              24704.37          47119.85
1048576             26739.62          25500.89
2097152             28590.54          13633.03
4194304             29048.16           6925.62
