# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.99
2                       7.71
4                      15.04
8                      28.78
16                     55.51
32                    111.04
64                    221.05
128                   437.97
256                   873.84
512                  1299.26
1024                 2467.02
2048                 4483.25
4096                 4377.31
8192                 7936.25
16384               13383.08
32768               19127.03
65536               24606.28
131072              26776.02
262144              28427.25
524288              25288.11
1048576             28175.32
2097152             26980.92
4194304             27167.09
