# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.72
2                       7.43
4                      14.56
8                      26.65
16                     51.60
32                    104.39
64                    212.28
128                   412.11
256                   809.67
512                  1365.08
1024                 2689.64
2048                 4920.06
4096                 3421.83
8192                 4826.96
16384                4691.94
32768                6611.72
65536                8221.89
131072               8625.73
262144              16974.39
524288              26881.97
1048576             27187.16
2097152             27564.14
4194304             27914.15
