# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.40        3403340.76
2                       6.57        3285511.35
4                      12.45        3111536.98
8                      24.37        3046089.91
16                     49.06        3066237.83
32                     97.03        3032331.62
64                    190.90        2982847.93
128                   364.07        2844283.77
256                   685.17        2676459.61
512                  1369.40        2674604.45
1024                 2589.68        2528982.34
2048                 4668.97        2279771.09
4096                 4451.10        1086694.22
8192                 7912.28         965854.60
16384               13225.63         807228.31
32768               19050.92         581388.04
65536               22072.12         336793.87
131072              25130.71         191732.10
262144              25896.49          98787.26
524288              25960.33          49515.40
1048576             26662.24          25427.09
2097152             27182.19          12961.48
4194304             27315.29           6512.47
