# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.99
2                       7.61
4                      15.01
8                      30.22
16                     61.14
32                    123.42
64                    245.88
128                   488.61
256                   915.57
512                  1352.11
1024                 2593.32
2048                 4848.09
4096                 4484.42
8192                 8112.87
16384               13255.76
32768               19912.89
65536               24445.49
131072              26671.90
262144              28166.17
524288              27470.07
1048576             28020.90
2097152             28074.77
4194304             28420.23
