# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.43        3434162.86
2                       6.78        3390648.90
4                      13.27        3317567.80
8                      24.19        3023516.58
16                     48.62        3038495.89
32                     96.83        3026067.68
64                    194.96        3046197.92
128                   378.85        2959795.16
256                   738.68        2885483.46
512                  1410.69        2755255.00
1024                 2674.01        2611334.66
2048                 4991.33        2437171.53
4096                 3359.77         820256.84
8192                 7865.97         960201.31
16384               14215.45         867642.36
32768               20798.03         634705.50
65536               24014.80         366436.72
131072              27019.95         206145.86
262144              24657.66          94061.50
524288              26303.15          50169.28
1048576             27932.36          26638.38
2097152             26638.78          12702.36
4194304             27871.14           6645.00
