# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.02        3019370.68
2                       5.75        2873216.97
4                      11.49        2871848.65
8                      23.43        2929112.46
16                     46.86        2928812.47
32                     94.44        2951150.57
64                    184.18        2877766.55
128                   365.62        2856430.79
256                   713.46        2786935.11
512                  1333.02        2603552.75
1024                 2565.07        2504951.29
2048                 4703.64        2296697.26
4096                 3332.96         813711.50
8192                 6522.11         796156.14
16384               13770.47         840482.80
32768               19660.49         599990.43
65536               22435.45         342337.87
131072              24583.84         187559.84
262144              25675.81          97945.44
524288              27128.23          51742.99
1048576             25066.39          23905.18
2097152             25808.06          12306.24
4194304             27637.86           6589.38
