# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.49
2                       0.63
4                       0.57
8                       0.50
16                      0.51
32                      0.50
64                      0.51
128                     0.69
256                     0.54
512                     0.65
1024                    0.60
2048                    0.66
4096                    1.53
8192                    1.55
16384                   2.10
32768                   2.92
65536                   4.61
131072                  9.00
262144                 12.03
524288                 22.96
1048576                43.93
2097152                82.87
4194304               187.12
