# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.58
4                       0.57
8                       0.50
16                      0.51
32                      0.51
64                      0.51
128                     0.70
256                     0.57
512                     0.59
1024                    0.61
2048                    0.67
4096                    1.52
8192                    1.56
16384                   1.96
32768                   3.05
65536                   4.83
131072                  9.56
262144                 12.02
524288                 22.66
1048576                44.01
2097152                87.21
4194304               203.77
