# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.01
2                       8.01
4                      15.53
8                      30.79
16                     61.56
32                    113.52
64                    222.23
128                   435.21
256                   845.63
512                  1322.58
1024                 2576.06
2048                 4838.91
4096                 4295.59
8192                 8332.76
16384               13925.82
32768               21143.53
65536               25982.68
131072              28566.15
262144              26721.90
524288              20709.69
1048576             27804.15
2097152             28600.88
4194304             29187.90
