# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.50
4                       0.51
8                       0.50
16                      0.51
32                      0.52
64                      0.51
128                     0.52
256                     0.58
512                     0.61
1024                    0.66
2048                    0.66
4096                    1.38
8192                    1.57
16384                   2.11
32768                   3.02
65536                   4.31
131072                  7.29
262144                 11.85
524288                 22.59
1048576                43.87
2097152                83.23
4194304               188.84
